country_code,year_month,rice_price_usd_per_kg,wheat_flour_price_usd_per_kg
IND,2023-01,0.47474747474747475,0.46615384615384614
IND,2023-02,0.467710843373494,0.4678313253012048
IND,2023-03,0.4699090909090909,0.45182692307692307
IND,2023-04,0.47829787234042553,0.4647872340425532
IND,2023-05,0.47130434782608693,0.4584761904761905
IND,2023-06,0.4884210526315789,0.4535051546391753
IND,2023-07,0.50625,0.4575229357798165
IND,2023-08,0.505,0.505
IND,2023-09,0.48,0.46399999999999997
IND,2023-10,0.45999999999999996,0.475
IND,2023-11,0.5266666666666667,0.54
IND,2023-12,0.524,0.44
IND,2024-01,0.515,0.44333333333333336
IND,2024-02,0.47,0.4925
IND,2024-03,0.534,0.46499999999999997
IND,2024-04,0.5525,0.42333333333333334
IND,2024-05,0.5633333333333334,0.45999999999999996
IND,2024-06,0.5633333333333334,0.4775
IND,2024-07,0.5449999999999999,0.46799999999999997
IND,2024-08,0.5225,0.4366666666666667
IND,2024-09,0.53,0.48666666666666664
IND,2024-10,0.5225,0.4625
IND,2024-11,0.48333333333333334,0.445
IND,2024-12,0.5333333333333333,0.47
IND,2025-01,0.5,0.45999999999999996
IND,2025-02,0.47000000000000003,0.4533333333333333
IND,2025-03,0.475,0.44
IND,2025-04,0.5075,0.485
IND,2025-05,0.5,0.45
IND,2025-06,0.475,0.45499999999999996
IND,2025-07,0.5066666666666667,0.495
IND,2025-08,0.47,0.4533333333333333
IND,2025-09,0.46499999999999997,0.45999999999999996
IND,2025-10,0.5033333333333333,0.49333333333333335
IND,2025-11,0.4666666666666666,0.47750000000000004
IND,2025-12,0.4466666666666667,0.44399999999999995
IND,2026-01,0.472,0.49
IND,2026-02,0.48666666666666664,0.47333333333333333
